Country,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Sugar & Sweeteners,Vegetables,Country_Code
Afghanistan,0.58,0.38,39.92,6.39,37.11,10.6,63.41,AFG
Albania,11.62,8.6,185.68,56.68,290.98,53.65,382.37,ALB
Algeria,6.05,2.75,107.14,22.27,145.25,31.07,221.33,DZA
Angola,1.74,14.34,82.42,18.59,7.82,14.66,54.87,AGO
Antigua and Barbuda,6.02,54.52,241.73,96.37,117.21,47.98,101.09,ATG
Argentina,18.41,7.11,74.11,114.95,178.36,39.06,76.61,ARG
Armenia,13.42,4.86,112.21,54.67,210.64,57.33,217.67,ARM
Australia,7.64,24.24,86.08,116.78,227.06,43.17,160.62,AUS
Austria,15.12,14.12,117.23,73.71,216.32,37.47,178.01,AUT
Azerbaijan,10.64,2.14,91.32,39.43,165.43,47.83,196.28,AZE
"Bahamas, The",13.69,27.68,309.87,114.91,130.03,70.36,173.13,BHS
Bahrain,10.69,19.76,125.14,76.26,194.06,51.93,139.38,BHR
Bangladesh,3.77,26.98,30.35,4.49,76.12,9.95,52.15,BGD
Barbados,9.86,43.16,103.16,76.25,111.64,50.73,121.42,BRB
Belarus,16.7,12.46,62.4,111.72,170.09,65.45,178.34,BLR
Belgium,31.83,23.93,79.6,59.97,204.51,57.51,213.66,BEL
Belize,4.78,16.94,60.93,68.18,99.59,40.01,79.93,BLZ
Bhutan,4.28,6.26,30.87,14.66,63.52,19.48,63.5,BTN
Bolivia,6.89,2.12,85.15,84.43,39.06,86.86,43.05,BOL
Bosnia and Herzegovina,7.0,5.86,196.6,51.88,193.37,53.72,260.99,BIH
Botswana,1.41,2.22,46.64,43.27,89.37,78.41,48.88,BWA
Brazil,12.73,8.18,106.77,104.57,163.15,38.9,52.4,BRA
Bulgaria,5.2,7.18,74.43,63.74,179.9,48.45,100.29,BGR
Burkina Faso,1.09,10.49,59.85,23.08,20.93,8.69,58.6,BFA
Cabo Verde,4.8,10.67,51.97,43.85,100.19,31.85,102.09,CPV
Cambodia,1.09,39.42,17.72,16.13,9.68,38.12,35.86,KHM
Cameroon,1.74,18.12,93.3,14.76,12.19,16.06,107.04,CMR
Canada,15.89,20.82,112.22,94.79,185.9,49.71,114.48,CAN
Chile,9.89,14.36,76.81,98.54,105.08,45.45,77.57,CHL
China,22.85,41.65,113.82,74.03,35.31,9.81,406.68,CHN
"Hong Kong SAR, China",28.3,69.11,75.07,107.43,67.4,54.67,172.56,HKG
