Country,Country_Code,Eggs (kg/capita/year),Fish & Seafood (kg/capita/year),Fruits (kg/capita/year),Meat (kg/capita/year),Milk (kg/capita/year),Sugar (kg/capita/year),Vegetables (kg/capita/year),GDP per Capita (US$),Life Expectancy (Years),Diabetes Prevalence (%),Obesity (%)
Afghanistan,AFG,0.58,0.38,39.92,6.39,37.11,10.6,63.41,413.757894705303,66.035,11.7,17.805538
Albania,ALB,11.62,8.6,185.68,56.68,290.98,53.65,382.37,9730.86921906893,79.602,10.6,26.45891
Algeria,DZA,6.05,2.75,107.14,22.27,145.25,31.07,221.33,5370.477235078,76.261,17.5,23.82292
Angola,AGO,1.74,14.34,82.42,18.59,7.82,14.66,54.87,2916.13663284275,64.617,4.9,11.380967
Antigua and Barbuda,ATG,6.02,54.52,241.73,96.37,117.21,47.98,101.09,21494.5474000727,77.598,11.6,34.71318
Argentina,ARG,18.41,7.11,74.11,114.95,178.36,39.06,76.61,14261.8465667948,77.395,14.0,37.01727
Armenia,ARM,13.42,4.86,112.21,54.67,210.64,57.33,217.67,8159.08720967996,77.4658536585366,7.7,28.00131
Australia,AUS,7.64,24.24,86.08,116.78,227.06,43.17,160.62,65058.3773146674,83.0512195121951,7.4,31.911934
Austria,AUT,15.12,14.12,117.23,73.71,216.32,37.47,178.01,56579.504175468,81.7926829268293,5.4,17.978148
Azerbaijan,AZE,10.64,2.14,91.32,39.43,165.43,47.83,196.28,7133.02838048328,74.429,10.2,28.433779
"Bahamas, The",BHS,13.69,27.68,309.87,114.91,130.03,70.36,173.13,38231.774484278,74.552,8.9,47.772232
Bahrain,BHR,10.69,19.76,125.14,76.26,194.06,51.93,139.38,29290.1284215098,81.284,22.1,35.240536
Bangladesh,BGD,3.77,26.98,30.35,4.49,76.12,9.95,52.15,2551.01773827307,74.672,13.2,5.404747
Barbados,BRB,9.86,43.16,103.16,76.25,111.64,50.73,121.42,25583.878782727,76.178,13.2,38.951454
Belarus,BLR,16.7,12.46,62.4,111.72,170.09,65.45,178.34,7896.75388295584,74.1837804878049,5.1,26.04441
Belgium,BEL,31.83,23.93,79.6,59.97,204.51,57.51,213.66,55291.4754541329,82.4,5.9,22.543743
Belize,BLZ,4.78,16.94,60.93,68.18,99.59,40.01,79.93,7424.75821321022,73.566,14.1,42.42959
Bhutan,BTN,4.28,6.26,30.87,14.66,63.52,19.48,63.5,3831.32535494609,72.975,12.0,12.380952
Bolivia,BOL,6.89,2.12,85.15,84.43,39.06,86.86,43.05,4274.70820547613,68.581,3.4,28.02505
Bosnia and Herzegovina,BIH,7.0,5.86,196.6,51.88,193.37,53.72,260.99,8663.02326458629,77.85,10.3,25.655657
Botswana,BWA,1.41,2.22,46.64,43.27,89.37,78.41,48.88,7826.35376483298,69.163,4.6,17.496462
Brazil,BRA,12.73,8.18,106.77,104.57,163.15,38.9,52.4,10377.5897719195,75.848,10.6,29.83751
Bulgaria,BGR,5.2,7.18,74.43,63.74,179.9,48.45,100.29,15853.208636704,75.7560975609756,7.4,23.723598
Burkina Faso,BFA,1.09,10.49,59.85,23.08,20.93,8.69,58.6,873.482589651003,61.092,4.5,6.5721436
Cabo Verde,CPV,4.8,10.67,51.97,43.85,100.19,31.85,102.09,4794.90121917259,76.059,6.8,15.898386
Cambodia,KHM,1.09,39.42,17.72,16.13,9.68,38.12,35.86,2429.74853452838,70.668,7.5,4.635887
Cameroon,CMR,1.74,18.12,93.3,14.76,12.19,16.06,107.04,1720.47510154506,63.7,6.9,14.155021
Canada,CAN,15.89,20.82,112.22,94.79,185.9,49.71,114.48,54220.3285039875,81.6263414634146,7.7,27.025038
Chile,CHL,9.89,14.36,76.81,98.54,105.08,45.45,77.57,17067.0364799154,81.167,12.2,40.153976
China,CHN,22.85,41.65,113.82,74.03,35.31,9.81,406.68,12951.1782397043,77.953,11.9,8.607577
"Hong Kong SAR, China",HKG,28.3,69.11,75.07,107.43,67.4,54.67,172.56,50562.3633144379,85.2473170731707,8.2,
"Macao SAR, China",MAC,23.96,61.12,66.16,121.23,41.52,90.37,135.46,67216.3631112124,83.1804878048781,8.1,
China,CHN,22.96,41.68,114.36,73.54,34.77,9.2,412.72,12951.1782397043,77.953,11.9,8.607577
Colombia,COL,14.96,10.31,153.7,62.59,116.5,51.87,51.0,7000.83660501046,77.725,8.4,24.606188
Comoros,COM,1.48,16.98,97.11,26.59,17.04,18.31,44.56,1560.27378476855,66.777,10.8,15.510419
"Congo, Rep.",COG,0.19,23.19,41.7,55.8,6.7,15.21,13.14,2477.97845544866,65.772,8.1,11.140745
Costa Rica,CRI,13.61,17.83,77.12,64.12,172.9,51.69,71.77,16942.0268119375,80.799,9.8,32.652946
Croatia,HRV,8.94,19.89,104.98,99.71,184.81,58.26,338.04,22184.2279304842,78.4731707317073,10.5,35.697617
Cyprus,CYP,7.61,17.96,77.79,77.95,168.16,66.3,96.53,36623.69140625,81.648,10.0,23.579716
Czechia,CZE,8.94,10.37,78.86,82.29,173.75,42.54,115.89,31761.5944102491,79.8268292682927,7.6,31.078094
Cote d'Ivoire,CIV,1.99,23.7,62.41,12.02,10.05,12.97,31.33,2591.9659048119,61.944,5.0,11.530246
"Congo, Dem. Rep.",COD,0.06,3.29,51.47,3.49,48.59,3.18,6.89,660.21205238997,61.895,7.7,5.6179557
Denmark,DNK,13.45,22.56,106.55,101.27,496.49,53.27,149.86,68043.5466971243,81.7536585365854,6.4,15.071228
Djibouti,DJI,2.02,5.31,39.49,14.07,61.12,34.12,115.65,3381.29779710722,65.987,6.5,10.716151
Dominican Republic,DOM,16.75,17.14,379.63,61.6,113.31,44.53,159.88,10630.431743829,73.72,17.6,29.882477
Ecuador,ECU,7.72,6.45,80.41,56.24,115.77,97.37,23.65,6737.84748379638,77.392,4.9,27.889198
"Egypt, Arab Rep.",EGY,3.69,20.5,94.03,27.62,48.44,21.33,135.7,3456.78968456253,71.633,22.4,42.357826
El Salvador,SLV,8.54,7.22,82.78,45.65,250.75,32.67,92.51,5365.44491399171,72.099,12.7,30.722786
Estonia,EST,12.79,12.7,81.87,64.73,339.35,80.28,132.27,30264.0064885057,78.7926829268293,6.9,24.981207
