Country,Country_Code,Life_Expectancy
Aruba,ABW,76.353
Africa Eastern and Southern,AFE,65.1462279163724
Afghanistan,AFG,66.035
Africa Western and Central,AFW,58.8557398136649
Angola,AGO,64.617
Albania,ALB,79.602
Andorra,AND,84.041
Arab World,ARB,72.4446783578531
United Arab Emirates,ARE,82.909
Argentina,ARG,77.395
Armenia,ARM,77.4658536585366
American Samoa,ASM,72.852
Antigua and Barbuda,ATG,77.598
Australia,AUS,83.0512195121951
Austria,AUT,81.7926829268293
Azerbaijan,AZE,74.429
Burundi,BDI,63.651
Belgium,BEL,82.4
Benin,BEN,60.774
Burkina Faso,BFA,61.092
Bangladesh,BGD,74.672
Bulgaria,BGR,75.7560975609756
Bahrain,BHR,81.284
"Bahamas, The",BHS,74.552
Bosnia and Herzegovina,BIH,77.85
Belarus,BLR,74.1837804878049
Belize,BLZ,73.566
Bermuda,BMU,82.309
Bolivia,BOL,68.581
Brazil,BRA,75.848
Barbados,BRB,76.178
Brunei Darussalam,BRN,75.327
Bhutan,BTN,72.975
Botswana,BWA,69.163
Central African Republic,CAF,57.408
Canada,CAN,81.6263414634146
Central Europe and the Baltics,CEB,77.7580384683685
Switzerland,CHE,84.1560975609756
Channel Islands,CHI,81.1
Chile,CHL,81.167
China,CHN,77.953
Cote d'Ivoire,CIV,61.944
Cameroon,CMR,63.7
"Congo, Dem. Rep.",COD,61.895
"Congo, Rep.",COG,65.772
Colombia,COL,77.725
Comoros,COM,66.777
Cabo Verde,CPV,76.059
Costa Rica,CRI,80.799
Caribbean small states,CSS,73.1716450013098
Cuba,CUB,78.085
Curacao,CUW,76.8
Cayman Islands,CYM,80.358
Cyprus,CYP,81.648
Czechia,CZE,79.8268292682927
Germany,DEU,81.0414634146342
Djibouti,DJI,65.987
Dominica,DMA,71.132
Denmark,DNK,81.7536585365854
Dominican Republic,DOM,73.72
Algeria,DZA,76.261
East Asia & Pacific (excluding high income),EAP,75.8806830895266
Early-demographic dividend,EAR,71.7962449795855
East Asia & Pacific,EAS,76.6572021082574
Europe & Central Asia (excluding high income),ECA,74.7901887741185
Europe & Central Asia,ECS,78.3911328035275
Ecuador,ECU,77.392
"Egypt, Arab Rep.",EGY,71.633
Euro area,EMU,82.2555207096815
Eritrea,ERI,68.624
Spain,ESP,83.9341463414634
Estonia,EST,78.7926829268293
Ethiopia,ETH,67.315
European Union,EUU,81.4249329538218
Fragile and conflict affected situations,FCS,63.3499447771075
Finland,FIN,81.5853658536585
Fiji,FJI,67.316
France,FRA,82.8317073170732
Faroe Islands,FRO,82.9521195121951
"Micronesia, Fed. Sts.",FSM,67.198
Gabon,GAB,68.337
United Kingdom,GBR,81.2380975609756
Georgia,GEO,74.496
Ghana,GHA,65.498
Gibraltar,GIB,83.553
Guinea,GIN,60.74
"Gambia, The",GMB,65.86
Guinea-Bissau,GNB,64.085
Equatorial Guinea,GNQ,63.707
Greece,GRC,81.7365853658537
Grenada,GRD,75.205
Greenland,GRL,70.9724390243902
Guatemala,GTM,72.602
Guam,GUM,77.209
Guyana,GUY,70.18
High income,HIC,80.1496259588259
"Hong Kong SAR, China",HKG,85.2473170731707
Honduras,HND,72.884
Heavily indebted poor countries (HIPC),HPC,64.7159155608789
Croatia,HRV,78.4731707317073
Haiti,HTI,64.936
Hungary,HUN,76.5707317073171
IBRD only,IBD,74.5179789642607
IDA & IBRD total,IBT,71.9985367096848
IDA total,IDA,65.4535271943526
IDA blend,IDB,62.4621643327349
Indonesia,IDN,71.146
IDA only,IDX,67.0538393822484
Isle of Man,IMN,80.999
India,IND,72.003
Ireland,IRL,82.8073170731707
"Iran, Islamic Rep.",IRN,77.654
Iraq,IRQ,72.324
Iceland,ISL,82.4560975609756
Israel,ISR,83.1951219512195
Italy,ITA,83.3512195121951
Jamaica,JAM,71.479
Jordan,JOR,77.814
Japan,JPN,84.0412195121951
Kazakhstan,KAZ,74.402
Kenya,KEN,63.646
Kyrgyz Republic,KGZ,72.2487804878049
Cambodia,KHM,70.668
Kiribati,KIR,66.473
St. Kitts and Nevis,KNA,72.145
"Korea, Rep.",KOR,83.4292682926829
Kuwait,KWT,83.1878048780488
Latin America & Caribbean (excluding high income),LAC,75.4986013301867
Lao PDR,LAO,68.964
Lebanon,LBN,77.817
Liberia,LBR,62.163
Libya,LBY,69.339
St. Lucia,LCA,72.697
Latin America & Caribbean,LCN,75.6435273174016
Least developed countries: UN classification,LDC,66.5161082750607
Low income,LIC,64.5179111025439
Liechtenstein,LIE,84.5951219512195
Sri Lanka,LKA,77.483
Lower middle income,LMC,69.5963746571515
Low & middle income,LMY,71.9735329954044
Lesotho,LSO,57.375
Late-demographic dividend,LTE,77.1240563291033
Lithuania,LTU,77.290243902439
Luxembourg,LUX,83.309756097561
Latvia,LVA,75.4268292682927
"Macao SAR, China",MAC,83.1804878048781
St. Martin (French part),MAF,80.224
Morocco,MAR,75.313
Monaco,MCO,86.372
Moldova,MDA,71.198
Madagascar,MDG,63.632
