"","","","2023","2023"
"","","","Unit","Value"
"Afghanistan","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","0.58"
"Afghanistan","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","0.38"
"Afghanistan","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","39.92"
"Afghanistan","Food supply quantity (kg/capita/yr)","Meat","kg/cap","6.39"
"Afghanistan","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","37.11"
"Afghanistan","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","10.6"
"Afghanistan","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","63.41"
"Albania","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","11.62"
"Albania","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","8.6"
"Albania","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","185.68"
"Albania","Food supply quantity (kg/capita/yr)","Meat","kg/cap","56.68"
"Albania","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","290.98"
"Albania","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","53.65"
"Albania","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","382.37"
"Algeria","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","6.05"
"Algeria","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","2.75"
"Algeria","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","107.14"
"Algeria","Food supply quantity (kg/capita/yr)","Meat","kg/cap","22.27"
"Algeria","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","145.25"
"Algeria","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","31.07"
"Algeria","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","221.33"
"Angola","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","1.74"
"Angola","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","14.34"
"Angola","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","82.42"
"Angola","Food supply quantity (kg/capita/yr)","Meat","kg/cap","18.59"
"Angola","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","7.82"
"Angola","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","14.66"
"Angola","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","54.87"
"Antigua and Barbuda","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","6.02"
"Antigua and Barbuda","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","54.52"
"Antigua and Barbuda","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","241.73"
"Antigua and Barbuda","Food supply quantity (kg/capita/yr)","Meat","kg/cap","96.37"
"Antigua and Barbuda","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","117.21"
"Antigua and Barbuda","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","47.98"
"Antigua and Barbuda","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","101.09"
"Argentina","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","18.41"
"Argentina","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","7.11"
"Argentina","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","74.11"
"Argentina","Food supply quantity (kg/capita/yr)","Meat","kg/cap","114.95"
"Argentina","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","178.36"
"Argentina","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","39.06"
"Argentina","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","76.61"
"Armenia","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","13.42"
"Armenia","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","4.86"
"Armenia","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","112.21"
"Armenia","Food supply quantity (kg/capita/yr)","Meat","kg/cap","54.67"
"Armenia","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","210.64"
"Armenia","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","57.33"
"Armenia","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","217.67"
"Australia","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","7.64"
"Australia","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","24.24"
"Australia","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","86.08"
"Australia","Food supply quantity (kg/capita/yr)","Meat","kg/cap","116.78"
"Australia","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","227.06"
"Australia","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","43.17"
"Australia","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","160.62"
"Austria","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","15.12"
"Austria","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","14.12"
"Austria","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","117.23"
"Austria","Food supply quantity (kg/capita/yr)","Meat","kg/cap","73.71"
"Austria","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","216.32"
"Austria","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","37.47"
"Austria","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","178.01"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","10.64"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","2.14"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","91.32"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Meat","kg/cap","39.43"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","165.43"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","47.83"
"Azerbaijan","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","196.28"
"Bahamas","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","13.69"
"Bahamas","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","27.68"
"Bahamas","Food supply quantity (kg/capita/yr)","Fruits - Excluding Wine","kg/cap","309.87"
"Bahamas","Food supply quantity (kg/capita/yr)","Meat","kg/cap","114.91"
"Bahamas","Food supply quantity (kg/capita/yr)","Milk - Excluding Butter","kg/cap","130.03"
"Bahamas","Food supply quantity (kg/capita/yr)","Sugar & Sweeteners","kg/cap","70.36"
"Bahamas","Food supply quantity (kg/capita/yr)","Vegetables","kg/cap","173.13"
"Bahrain","Food supply quantity (kg/capita/yr)","Eggs","kg/cap","10.69"
"Bahrain","Food supply quantity (kg/capita/yr)","Fish, Seafood","kg/cap","19.76"
